id,nombre,poblacion,id_estado
1,Acatic,23175,1
2,Acatlán de Juárez,25250,1
3,Ahualulco de Mercado,23630,1
4,Amacueca,5743,1
5,Amatitán,16490,1
6,Ameca,60386,1
7,San Juanito de Escobedo,9433,1
8,Arandas,80609,1
9,El Arenal,21115,1
10,Atemajac de Brizuela,7758,1
11,Atengo,5599,1
12,Atenguillo,4176,1
13,Atotonilco el Alto,64009,1
14,Atoyac,8689,1
15,Autlán de Navarro,64931,1
16,Ayotlán,41552,1
17,Ayutla,12880,1
18,La Barca,67937,1
19,Bolaños,7043,1
20,Cabo Corrientes,10940,1
21,Casimiro Castillo,20548,1
22,Cihuatlán,40139,1
23,Zapotlán el Grande,115141,1
24,Cocula,29267,1
25,Colotlán,19689,1
26,Concepción de Buenos Aires,6334,1
27,Cuautitlán de García Barragán,18370,1
28,Cuautla,2166,1
29,Cuquío,17820,1
30,Chapala,55196,1
31,Chimaltitán,3270,1
32,Chiquilistlán,5983,1
33,Degollado,21226,1
34,Ejutla,1981,1
35,Encarnación de Díaz,53039,1
36,Etzatlán,20011,1
37,El Grullo,25920,1
38,Guachinango,4199,1
39,Guadalajara,1385629,1
40,Hostotipaquillo,8732,1
41,Huejúcar,5920,1
42,Huejuquilla el Alto,10015,1
43,La Huerta,23258,1
44,Ixtlahuacán de los Membrillos,67969,1
45,Ixtlahuacán del Río,20465,1
46,Jalostotitlán,32678,1
47,Jamay,24894,1
48,Jesús María,18982,1
49,Jilotlán de los Dolores,9425,1
50,Jocotepec,47105,1
51,Juanacatlán,30855,1
52,Juchitlán,5534,1
53,Lagos de Moreno,172403,1
54,El Limón,5368,1
55,Magdalena,21781,1
56,Santa María del Oro,1815,1
57,La Manzanilla de la Paz,4099,1
58,Mascota,14451,1
59,Mazamitla,14043,1
60,Mexticacán,5307,1
61,Mezquitic,22083,1
62,Mixtlán,3638,1
63,Ocotlán,106050,1
64,Ojuelos de Jalisco,33588,1
65,Pihuamo,11386,1
66,Poncitlán,53659,1
67,Puerto Vallarta,291839,1
68,Villa Purificación,11303,1
69,Quitupan,7734,1
70,El Salto,232852,1
71,San Cristóbal de la Barranca,2924,1
72,San Diego de Alejandría,7609,1
73,San Juan de los Lagos,72230,1
74,San Julián,16792,1
75,San Marcos,3791,1
76,San Martín de Bolaños,3095,1
77,San Martín Hidalgo,28102,1
78,San Miguel el Alto,31965,1
79,Gómez Farías,16431,1
80,San Sebastián del Oeste,5086,1
81,Santa María de los Ángeles,3515,1
82,Sayula,37186,1
83,Tala,87690,1
84,Talpa de Allende,14997,1
85,Tamazula de Gordiano,38955,1
86,Tapalpa,21245,1
87,Tecalitlán,16705,1
88,Tecolotlán,16603,1
89,Techaluta de Montenegro,4072,1
90,Tenamaxtlán,7302,1
91,Teocaltiche,39839,1
92,Teocuitatlán de Corona,11039,1
93,Tepatitlán de Morelos,150190,1
94,Tequila,44353,1
95,Teuchitlán,9647,1
96,Tizapán el Alto,22758,1
97,Tlajomulco de Zúñiga,727750,1
98,San Pedro Tlaquepaque,687127,1
99,Tolimán,11219,1
100,Tomatlán,36316,1
101,Tonalá,569913,1
102,Tonaya,5961,1
103,Tonila,7565,1
104,Totatiche,4180,1
105,Tototlán,23573,1
106,Tuxcacuesco,5482,1
107,Tuxcueca,6702,1
108,Tuxpan,37518,1
109,Unión de San Antonio,19069,1
110,Unión de Tula,13799,1
111,Valle de Guadalupe,6627,1
112,Valle de Juárez,6151,1
113,San Gabriel,16548,1
114,Villa Corona,19063,1
115,Villa Guerrero,5525,1
116,Villa Hidalgo,20088,1
117,Cañadas de Obregón,4388,1
118,Yahualica de González Gallo,22394,1
119,Zacoalco de Torres,30472,1
120,Zapopan,1476491,1
121,Zapotiltic,33713,1
122,Zapotitlán de Vadillo,7466,1
123,Zapotlán del Rey,19279,1
124,Zapotlanejo,64806,1
125,San Ignacio Cerro Gordo,18341,1
