Id_Municipio,Sin_Afiliacion,Con_Afiliacion,IMSS,Otros
1,7963,15199,9464,5735
2,6336,18900,15331,3569
3,5203,18403,12665,5738
4,1448,4293,807,3486
5,5082,11405,7124,4281
6,13885,46484,22972,23512
7,1426,8005,3325,4680
8,32187,48391,28193,20198
9,6165,14936,10035,4901
10,3864,3891,525,3366
11,1384,4185,399,3786
12,575,3600,405,3195
13,18141,45842,22334,23508
14,2006,6678,1443,5235
15,11962,52909,30403,22506
16,20735,20783,5676,15107
17,3189,9684,2017,7667
18,22226,45699,18083,27616
19,1170,5869,1528,4341
20,2096,8837,2782,6055
21,2702,17824,9104,8720
22,11568,28537,10016,18521
23,24185,90880,66460,24420
24,7189,22074,10536,11538
25,5363,14321,4139,10182
26,1470,4857,670,4187
27,2935,15422,2224,13198
28,299,1864,179,1685
29,4742,13073,972,12101
30,24369,30786,17504,13282
31,1185,2083,299,1784
32,1082,4899,845,4054
33,11848,9371,2925,6446
34,344,1630,151,1479
35,17811,35208,15736,19472
36,4023,15972,6199,9773
37,6458,19441,9412,10029
38,1176,2999,441,2558
39,408824,970771,814494,156277
40,1514,7205,968,6237
41,1923,3994,588,3406
42,1815,8180,420,7760
43,4470,18767,4723,14044
44,20989,46930,38131,8799
45,8566,11859,3131,8728
46,14056,18602,9114,9488
47,7237,17608,8773,8835
48,8969,9995,4394,5601
49,3645,5770,213,5557
50,19215,27842,13547,14295
51,8551,22274,18379,3895
52,1025,4508,971,3537
53,43824,128474,97818,30656
54,792,4569,1720,2849
55,3994,17769,5959,11810
56,250,1563,51,1512
57,1482,2615,528,2087
58,2897,11549,2485,9064
59,5139,8891,2381,6510
60,710,4591,253,4338
61,2288,19776,696,19080
62,937,2699,281,2418
63,24919,81077,64540,16537
64,8840,24735,6825,17910
65,2840,8541,3307,5234
66,17565,36022,22274,13748
67,75826,215647,170110,45537
68,2512,8776,1107,7669
69,3491,4237,131,4106
70,77635,154908,132856,22052
71,1151,1767,167,1600
72,1965,5643,1558,4085
73,24000,48159,26190,21969
74,6313,10476,2765,7711
75,855,2928,910,2018
76,465,2619,835,1784
77,9283,18811,8354,10457
78,11704,20247,10029,10218
79,4147,12275,7831,4444
80,797,4284,382,3902
81,722,2789,187,2602
82,8452,28723,14901,13822
83,21232,66378,58859,7519
84,2938,12051,2202,9849
85,7280,31654,17999,13655
86,10389,10847,4809,6038
87,3781,12912,5636,7276
88,3051,13549,4528,9021
89,305,3767,756,3011
90,1855,5442,964,4478
91,13743,26028,6786,19242
92,2726,8309,2043,6266
93,42785,107280,80553,26727
94,14174,30135,18032,12103
95,1754,7884,5031,2853
96,11529,11181,2247,8934
97,210332,516501,443924,72577
98,204413,477660,411009,66651
99,2656,8560,3144,5416
100,6101,30142,5373,24769
101,201707,363291,298781,64510
102,1224,4736,1958,2778
103,1260,6301,4479,1822
104,920,3259,241,3018
105,6624,16888,7154,9734
106,753,4724,1520,3204
107,2670,4030,1461,2569
108,7839,29666,17790,11876
109,6230,12838,5594,7244
110,3485,10312,3378,6934
111,1966,4655,2827,1828
112,3082,3059,467,2592
113,3811,12727,6899,5828
114,4695,14359,8477,5882
115,1258,4262,465,3797
116,10666,9413,1195,8218
117,888,3499,1051,2448
118,5570,16800,2724,14076
119,9745,20719,8627,12092
120,406331,1030362,796687,233675
121,8508,25186,18402,6784
122,1764,5699,1576,4123
123,6190,13088,6016,7072
124,33418,31033,15544,15489
125,8485,9825,3720,6105
